wavelength,intensity,error,region,wavelength_unit,intensity_unit
15.307231797265256,16878.480292426215,163.5436363116789,1,micron,MJy/sr
15.309691778238898,16856.86111111111,165.52894032772068,1,micron,MJy/sr
15.31215175921254,16810.728068033855,177.72697963703595,1,micron,MJy/sr
15.314611740186182,16850.903157552082,196.13180022587775,1,micron,MJy/sr
15.317071721159822,16840.153076171875,198.35569559060073,1,micron,MJy/sr
15.319531702133464,16859.737128363715,187.61619032426344,1,micron,MJy/sr
15.321991683107106,16804.233303493922,165.28822739226945,1,micron,MJy/sr
15.324451664080748,16966.792304144965,154.92675429203354,1,micron,MJy/sr
15.326911645054388,17031.759399414062,153.53759391951118,1,micron,MJy/sr
15.32937162602803,16977.490776909723,170.60163014505358,1,micron,MJy/sr
15.331831607001671,16898.333197699652,190.46484415783658,1,micron,MJy/sr
15.334291587975313,16961.844116210938,184.18888276480172,1,micron,MJy/sr
15.336751568948953,17050.712768554688,191.79733631336097,1,micron,MJy/sr
15.339211549922595,16942.995496961805,166.38381813842264,1,micron,MJy/sr
15.341671530896237,16952.19670952691,163.50134199974428,1,micron,MJy/sr
15.344131511869879,17057.860866970484,162.47196153394748,1,micron,MJy/sr
15.346591492843519,17014.038397894965,164.26634885438287,1,micron,MJy/sr
15.34905147381716,17000.606350368922,195.8798285221549,1,micron,MJy/sr
15.351511454790803,17022.358547634547,182.41599557465096,1,micron,MJy/sr
15.353971435764445,17187.588460286457,200.14068414495517,1,micron,MJy/sr
15.356431416738086,17032.976047092016,169.1643250680443,1,micron,MJy/sr
15.358891397711727,17085.683932834203,173.7282408123013,1,micron,MJy/sr
15.361351378685368,17106.356770833332,172.7205565293428,1,micron,MJy/sr
15.36381135965901,17115.94558376736,170.40225834204958,1,micron,MJy/sr
15.366271340632652,17175.341824001734,185.82647270780845,1,micron,MJy/sr
15.368731321606292,17090.366997612848,189.6457242730324,1,micron,MJy/sr
15.371191302579934,17254.411105685766,211.37360223634627,1,micron,MJy/sr
